2029,TAS,BAGDAD,CALTEX,MIDLANDS HIGHWAY,7030,03 62686160,0,1,0,0,0,1,0,0,1,,0,,0,0,1,Yes,FALSE,0,1,147.222401,-42.616674
2030,TAS,GROVE,INDEPENDENT,1952 HUON HIGHWAY (GROVE STORE),7109,03 62664231,0,1,1,0,0,1,0,0,1,,0,,0,0,0,No,FALSE,0,0,147.096996,-42.981777
2031,TAS,HOBART,CALTEX,64 SANDY BAY ROAD,7000,03 62235125,0,1,0,0,0,1,0,1,1,Yes,0,,0,0,0,No,FALSE,0,1,147.330447,-42.889476
2032,QLD,CHILDERS,CALTEX,BRUCE HWY,4660,07 4126 1188,0,1,0,0,1,1,0,1,1,,1,,0,1,0,Yes,FALSE,0,1,152.289661,-25.239868
2033,NSW,BUNGENDORE,CALTEX,42 MALBON STREET,2621,02 62381332,0,1,0,1,1,1,0,0,1,Yes,0,,0,0,1,No,FALSE,0,1,149.442648,-35.256451
2034,ACT,MITCHELL,CALTEX,116 LYSAGHT STREET,2911,02 62414032,0,1,0,1,1,1,0,1,1,Yes,0,,0,0,1,No,FALSE,0,0,149.139943,-35.215115
2035,QLD,HUGHENDEN,INDEPENDENT,GRAY ST,4821,07 4741 1132,0,1,0,0,0,1,0,0,0,,0,,0,0,0,Yes,FALSE,0,1,144.199826,-20.844693
2036,QLD,BOWEN,CALTEX,BRUCE HWY,4805,07 4786 1771,1,1,0,1,1,1,0,0,1,,0,,0,0,1,Yes,FALSE,0,0,148.21481,-20.02732
2037,QLD,PIMLICO,CALTEX,13 PALMERSTON STREET,4812,07 47252802,1,1,0,1,0,1,0,0,1,,0,,0,0,1,No,FALSE,0,0,146.789416,-19.281593
2038,QLD,WINTON,CALTEX,1 CHIRNSIDE STREET,4735,07 46571146,1,1,0,1,0,1,0,0,1,,0,,0,0,1,No,FALSE,0,1,143.047143,-22.380741
2039,QLD,LEICHHARDT,CALTEX,EDWARD ST CNR OLD TOOWOOMBA RD,4305,07 32816201,0,1,0,1,0,1,0,1,1,,0,,0,0,1,No,FALSE,0,0,152.743157,-27.627455
2040,TAS,ROCKY CAPE,CALTEX,BASS HIGHWAY,7321,03 64434273,0,1,0,0,0,1,0,0,1,,0,,1,1,1,No,FALSE,0,1,145.469912,-40.887694
2041,QLD,CAIRNS,CALTEX,60-88 DRAPER ST,4870,07 40511455,0,1,0,0,0,1,0,1,1,,1,,0,0,0,No,TRUE,0,0,145.775302,-16.934322
2042,WA,EAST FREMANTLE,INDEPENDENT,110 RIVERSIDE ROAD,6158,08 93395666,0,1,1,0,0,1,0,0,0,,1,,0,0,0,No,FALSE,0,0,115.762987,-32.034045
2043,NSW,BENDALONG,INDEPENDENT,20 WARATAH STREET,2539,02 44561113,0,1,1,0,0,1,0,0,1,,0,,0,0,1,No,FALSE,0,0,150.531942,-35.24668
2044,NSW,CASULA,CALTEX,646 HUME HWY,2170,02 96028482,1,1,0,1,0,0,0,1,1,,1,,1,1,1,No,FALSE,1,1,150.893725,-33.95608
2045,QLD,DALBY,CALTEX,58 LOUDOUN ST,4405,07 46622688,0,1,0,0,0,1,0,1,1,,0,,1,0,0,No,FALSE,0,1,151.236477,-27.183965
2046,QLD,HERVEY BAY,CALTEX,CHAPEL RD VIA NIKENBAH,4655,07 41281148,0,1,0,0,0,1,0,1,1,,0,,0,0,0,Yes,FALSE,0,1,152.805217,-25.31818
2047,WA,TOODYAY,CALTEX,28 STIRLING TERRACE,6566,08 95742478,0,1,0,1,1,1,0,0,1,,0,,0,1,1,No,FALSE,0,0,116.475527,-31.555637
2048,TAS,HADSPEN,CALTEX,WINIFRED JANE CR & MAIN ST,7290,03 63936333,0,1,0,0,0,1,0,0,1,,0,,0,0,0,No,FALSE,0,1,147.06939,-41.503741
2049,ACT,KALEEN,CALTEX,275 MARIBYRNONG AVE,2617,02 62417515,1,1,0,1,1,0,0,1,1,Yes,1,,0,1,1,No,TRUE,0,1,149.104068,-35.233499
2050,QLD,CLONCURRY,INDEPENDENT,25 McILLWRAITH ST,4824,07 4742 1416,0,1,1,0,0,1,0,0,0,,0,,0,0,0,Yes,FALSE,0,0,140.522282,-20.706747
2051,SA,KANGARILLA,INDEPENDENT,MCLAREN FLAT ROAD,5157,08 83837025,0,1,1,0,0,1,0,0,1,Yes,0,,0,0,0,No,TRUE,0,0,138.657151,-35.148221
